site,BHHE,CBCK,CICB,GGCT,LEFC,MTBD,OBOR,STTB,TotalSp,CanForSp,TSF,LAT,CPY,SEV
1,0,1,0,0,0,0,0,1,27,6,1,-1.428291059,0.467881944,0.909361287
2,1,1,0,0,0,0,0,1,26,6,1,-1.370334994,0.513002364,0.430823687
3,0,0,0,0,0,0,0,1,25,4,1,-1.319103712,0.608994986,-1.09092632
4,0,1,1,0,0,0,0,1,31,7,1,-1.314909761,0.336842105,0.230195986
5,0,0,0,1,0,0,0,1,24,5,1,-1.304533348,0.256880734,0.455135485
6,0,1,0,0,0,0,0,0,30,4,1,-1.296904696,0.338433633,0.996786424
7,0,0,0,0,0,0,0,0,24,3,1,-1.253193602,0.296878737,0.338797224
8,0,0,0,1,0,1,0,1,27,7,1,-1.192598241,0.444444444,0.964615923
9,0,0,1,1,1,0,0,0,21,6,1,-1.15217723,0.453034472,0.996786424
10,1,1,0,0,0,1,0,1,27,7,0,-1.073793731,0.322674419,-2.362733128
11,0,1,0,0,0,0,0,1,25,4,0,-0.988143127,0.234138394,-1.222978204
12,0,1,0,0,0,0,0,0,16,2,0,-0.945191283,0.13592233,-0.111393135
13,0,0,0,0,0,0,0,0,25,2,0,-0.92172685,0.269406393,-1.555399358
14,1,0,0,0,0,0,1,1,24,6,0,-0.848621945,0.31838565,-1.282723419
15,1,0,0,0,0,0,0,1,27,5,0,-0.801150757,0.32237399,-2.316166188
16,0,0,0,0,0,0,0,0,19,1,0,-0.736144516,0.187689394,-0.001700681
17,1,0,0,0,0,1,0,1,28,6,0,-0.452076642,0.328205128,0.922987428
18,0,0,0,0,1,1,0,1,28,6,0,-0.444484144,0.386046512,0.644966474
19,0,0,0,0,0,0,0,1,22,3,0,-0.40883556,0.361788618,0.798211794
20,0,1,0,0,0,0,1,1,28,6,0,-0.408582477,0.326446281,0.996786424
21,0,1,1,0,0,0,0,1,28,5,0,-0.282547017,0.381132075,0.133217676
22,1,1,1,0,0,0,1,1,37,8,1,-0.037453964,0.492753623,0.231121819
23,1,1,0,0,0,0,1,1,33,7,1,-0.002130772,0.468866064,0.978336674
24,0,1,0,1,0,0,1,1,30,7,1,0.030408503,0.49120227,0.996786424
25,0,0,1,0,1,1,1,1,30,9,1,0.066057087,0.463981982,0.983015639
26,1,0,0,1,1,0,1,1,38,9,1,0.157420141,0.497975709,-0.201000692
27,1,1,0,1,0,1,1,1,36,8,1,0.165121103,0.498086041,0.269777379
28,0,0,0,0,0,1,1,1,33,6,1,0.228681155,0.456247481,0.955123535
29,0,1,1,0,1,1,1,1,35,9,1,0.247807018,0.468411449,0.642057162
30,1,0,0,1,1,1,1,1,36,9,1,0.2670775,0.504065041,-1.199426192
31,1,1,0,0,0,0,1,1,35,8,1,0.285335649,0.460526316,0.936606695
32,0,1,1,0,1,0,1,1,27,9,1,1.133959951,0.457264957,0.428770616
33,0,0,1,0,1,0,1,1,27,8,0,1.1362377,0.3375,0.358728864
34,1,1,1,1,1,0,1,1,34,10,0,1.161979883,0.435779817,-0.259374775
35,1,0,1,1,1,0,1,0,33,9,0,1.169897773,0.434146341,-0.369806526
36,0,1,1,0,1,0,1,1,31,11,1,1.183961971,0.45320197,0.721039266
37,1,1,1,0,1,0,1,0,29,9,0,1.195061479,0.344370861,0.254184008
38,1,1,1,1,1,0,1,0,32,10,0,1.207679487,0.258064516,0.752327243
39,0,0,1,1,1,0,1,0,29,8,1,1.23486786,0.475961538,-2.037249228
40,1,1,1,0,0,0,1,1,28,8,0,1.243834238,0.358851675,-0.060244351
41,1,0,1,1,1,0,1,1,36,11,1,1.264008589,0.531578947,-1.471150645
42,1,0,0,1,1,0,1,0,31,8,0,1.269178718,0.266666667,0.996786424
43,0,0,0,0,0,0,1,1,26,6,0,1.282049809,0.321336263,0.610275288
44,0,0,1,0,1,0,1,0,32,8,1,1.294053186,0.504366895,-0.990985143
45,1,0,1,1,0,0,1,1,39,9,1,1.33038871,0.51370892,-0.944971911
46,0,0,1,1,1,0,1,0,30,7,1,1.427861918,0.476190476,-1.455379377
